	Length	Diameter
4033	0.495	0.385
4035	0.52	0.41
4036	0.54	0.42
4037	0.54	0.415
4038	0.55	0.445
4039	0.56	0.44
4041	0.575	0.45
4060	0.545	0.405
4065	0.37	0.275
4066	0.395	0.31
4067	0.4	0.3
4068	0.41	0.305
4069	0.455	0.335
4070	0.48	0.335
4071	0.485	0.375
4072	0.5	0.36
4073	0.515	0.395
4074	0.52	0.4
4076	0.545	0.43
4077	0.55	0.435
4080	0.555	0.43
4082	0.565	0.465
4087	0.595	0.475
4107	0.42	0.305
4108	0.48	0.35
4111	0.515	0.4
4113	0.56	0.42
4119	0.3	0.215
4121	0.455	0.35
4122	0.46	0.365
4123	0.49	0.375
4124	0.5	0.385
4125	0.54	0.415
4127	0.55	0.445
4129	0.57	0.425
4131	0.58	0.425
4132	0.585	0.47
4149	0.28	0.215
4150	0.33	0.23
4151	0.35	0.25
4152	0.37	0.28
4153	0.43	0.315
4154	0.435	0.33
4155	0.44	0.35
4158	0.48	0.355
4163	0.39	0.31
4164	0.39	0.29
4165	0.405	0.3
4166	0.475	0.365
